id,name,birthday,breed,species
1,Ozzy,2005-03-29,"Dachshund, Standard Smooth Haired",Dog
2,Ginger,2006-01-20,"Retriever, Golden",Dog
3,Pepper,2006-02-07,Manx,Cat
4,Addy,2006-08-04,"Retriever, Golden",Dog
5,Lady,2006-12-06,Doberman Pinscher,Dog
6,Rustie,2007-07-24,"Dachshund, Standard Smooth Haired",Dog
7,Emily,2007-11-19,Domestic Medium Hair,Cat
8,Tyson,2007-12-27,"Terrier, American Pit Bull",Dog
9,Sampson,2008-01-31,Shepherd,Dog
10,Buddy,2008-03-20,"Retriever, Labrador",Dog
11,Hitler,2008-03-25,"Terrier, American Pit Bull",Dog
12,Romeo,2008-03-28,"Terrier, Yorkshire",Dog
13,Oscar,2008-03-31,"Dachshund, Miniature Smooth Haired",Dog
14,Liame,2008-04-17,"Retriever, Labrador",Dog
15,Hunter,2008-08-02,Devon Rex,Cat
16,Emily,2008-11-12,"Terrier, Boston",Dog
17,Finigan,2008-12-01,"Spaniel, Irish Water",Dog
18,Holly,2009-01-28,"Retriever, Labrador",Dog
19,Franklin Tucker,2009-07-16,Pug,Dog
20,Shelby,2009-12-22,"Retriever, Labrador",Dog
21,Jack,2009-12-23,"Schnauzer, Miniature",Dog
22,Calvin,2010-01-11,Terrier,Dog
23,Zoey,2010-02-19,"Chihuahua, Short Coat",Dog
24,Shelby,2010-03-05,"Retriever, Labrador",Dog
25,Nugget,2010-03-18,"Retriever, Golden",Dog
26,Kane,2010-04-22,"Retriever, Labrador",Dog
27,Big Guy,2010-06-05,"Chihuahua, Short Coat",Dog
28,Akaiya,2010-06-15,"Terrier, American Staffordshire",Dog
29,Petey,2010-10-14,"Terrier, American Pit Bull",Dog
30,Buttercup,2011-02-04,"Retriever, Labrador",Dog
31,Skyler,2011-03-28,LaPerm,Cat
32,Jenkey,2011-03-29,Australian Cattle Dog,Dog
33,Velvet,2011-04-29,Akita,Dog
34,Mulan,2011-05-04,Australian Shepherd,Dog
35,Mac,2011-06-13,"Terrier, Boston",Dog
36,Zest,2011-07-29,German Shepherd,Dog
37,Wafer,2011-07-29,"Retriever, Labrador",Dog
38,Vegas,2011-09-28,Cane Corso,Dog
39,Rambo,2011-12-29,"Terrier, American Pit Bull",Dog
40,Charlie,2012-02-01,Boxer,Dog
41,Mister Kitty,2012-02-10,LaPerm,Cat
42,Puck,2012-05-19,"Spaniel, American Cocker",Dog
43,Cooper,2012-08-30,"Chihuahua, Short Coat",Dog
44,Cooper,2012-08-30,"Chihuahua, Short Coat",Dog
45,Grey Fox,2012-08-31,Siamese,Cat
46,Grey Fox,2012-08-31,Siamese,Cat
47,Pete,2012-09-28,Australian Cattle Dog,Dog
48,Pete,2012-09-28,Australian Cattle Dog,Dog
49,Midnight,2012-10-15,"Chihuahua, Short Coat",Dog
50,Midnight,2012-10-15,"Chihuahua, Short Coat",Dog
51,Blackie,2012-10-15,"Retriever, Labrador",Dog
52,Blackie,2012-10-15,"Retriever, Labrador",Dog
53,Diana,2012-10-20,"Terrier, American Pit Bull",Dog
54,Diana,2012-10-20,"Terrier, American Pit Bull",Dog
55,Jake,2012-11-25,"Retriever, Labrador",Dog
56,Fancy,2012-12-01,Maltese,Dog
57,Fancy,2012-12-01,Maltese,Dog
58,Blue,2012-12-07,Domestic Shorthair,Cat
59,Blue,2012-12-07,Domestic Shorthair,Cat
60,Spencer,2012-12-29,"Retriever, Golden",Dog
61,Spencer,2012-12-29,"Retriever, Golden",Dog
62,Lakein,2013-01-14,"Retriever, Labrador",Dog
63,Lakein,2013-01-14,"Retriever, Labrador",Dog
64,Quill,2013-01-16,Shih Tzu,Dog
65,Quill,2013-01-16,Shih Tzu,Dog
66,Walter,2013-02-11,"Dachshund, Miniature Smooth Haired",Dog
67,Walter,2013-02-11,"Dachshund, Miniature Smooth Haired",Dog
68,Tessa Love,2013-02-26,Border Collie,Dog
69,Tessa Love,2013-02-26,Border Collie,Dog
70,Johnny Depp,2013-03-02,Domestic Longhair,Cat
71,Johnny Depp,2013-03-02,Domestic Longhair,Cat
72,Lilly,2013-03-05,"Chihuahua, Short Coat",Dog
73,Lilly,2013-03-05,"Chihuahua, Short Coat",Dog
74,Meijo,2013-03-07,"Terrier, American Pit Bull",Dog
75,Meijo,2013-03-07,"Terrier, American Pit Bull",Dog
76,Jasmine,2013-03-22,Domestic Shorthair,Cat
77,Jasmine,2013-03-22,Domestic Shorthair,Cat
78,Scout,2013-04-05,"Dachshund, Standard Smooth Haired",Dog
79,Scout,2013-04-05,"Dachshund, Standard Smooth Haired",Dog
80,Sally,2013-04-12,"Terrier, Rat",Dog
81,Sally,2013-04-12,"Terrier, Rat",Dog
82,Dotti,2013-04-12,"Terrier, Rat",Dog
83,Dotti,2013-04-12,"Terrier, Rat",Dog
84,Zuma,2013-04-17,Domestic Shorthair,Cat
85,Zuma,2013-04-17,Domestic Shorthair,Cat
86,Shelby Food,2013-04-26,"Terrier, American Pit Bull",Dog
87,Shelby Food,2013-04-26,"Terrier, American Pit Bull",Dog
88,Molly,2013-04-27,Australian Cattle Dog,Dog
89,Molly,2013-04-27,Australian Cattle Dog,Dog
90,Happy,2013-05-07,"Welsh Corgi, Pembroke",Dog
91,Happy,2013-05-07,"Welsh Corgi, Pembroke",Dog
92,Dekeoi,2013-05-17,"Retriever, Chesapeake Bay",Dog
93,Dekeoi,2013-05-17,"Retriever, Chesapeake Bay",Dog
94,Jack,2013-05-17,Domestic Medium Hair,Cat
95,Jack,2013-05-17,Domestic Medium Hair,Cat
96,Sebastian,2013-05-29,Domestic Longhair,Cat
97,Sebastian,2013-05-29,Domestic Longhair,Cat
98,Romeo,2013-05-29,"Retriever, Golden",Dog
99,Romeo,2013-05-29,"Retriever, Golden",Dog
100,Suki,2013-06-04,Domestic Shorthair,Cat
101,Suki,2013-06-04,Domestic Shorthair,Cat
102,Growler,2013-06-04,Beagle,Dog
103,Growler,2013-06-04,Beagle,Dog
104,Karma,2013-06-06,"Terrier, American Pit Bull",Dog
105,Karma,2013-06-06,"Terrier, American Pit Bull",Dog
106,Harley,2013-06-08,"Spaniel, American Cocker",Dog
107,Harley,2013-06-08,"Spaniel, American Cocker",Dog
108,Milo,2013-06-10,Domestic Shorthair,Cat
109,Milo,2013-06-10,Domestic Shorthair,Cat
110,Coos,2013-06-11,Australian Shepherd,Dog
111,Coos,2013-06-11,Australian Shepherd,Dog
112,Wyle,2013-06-26,Whippet,Dog
113,Wyle,2013-06-26,Whippet,Dog
114,Puppy,2013-06-26,"Chihuahua, Short Coat",Dog
115,Puppy,2013-06-26,"Chihuahua, Short Coat",Dog
116,Opal,2013-06-28,Boxer,Dog
117,Opal,2013-06-28,Boxer,Dog
118,Patches,2013-07-11,Pomeranian,Dog
119,Patches,2013-07-11,Pomeranian,Dog
120,Rayne,2013-07-12,"Retriever, Labrador",Dog
121,Rayne,2013-07-12,"Retriever, Labrador",Dog
122,Sheba,2013-07-19,Domestic Shorthair,Cat
123,Sheba,2013-07-19,Domestic Shorthair,Cat
124,Consuela,2013-07-23,"Poodle, Toy",Dog
125,Consuela,2013-07-23,"Poodle, Toy",Dog
126,Murphy,2013-07-29,"Retriever, Labrador",Dog
127,Murphy,2013-07-29,"Retriever, Labrador",Dog
128,Tiger Pham,2013-07-31,Domestic Shorthair,Cat
129,Tiger Pham,2013-07-31,Domestic Shorthair,Cat
130,Bella Pham,2013-08-03,"Spaniel, American Cocker",Dog
131,Bella Pham,2013-08-03,"Spaniel, American Cocker",Dog
132,Tinkerbell,2013-08-04,Domestic Longhair,Cat
133,Tinkerbell,2013-08-04,Domestic Longhair,Cat
134,Tango,2013-08-06,German Shepherd,Dog
135,Tango,2013-08-06,German Shepherd,Dog
136,Eli,2013-08-06,Australian Shepherd,Dog
137,Eli,2013-08-06,Australian Shepherd,Dog
138,Jack,2013-08-06,"Retriever, Labrador",Dog
139,Sylvie,2013-08-06,"Poodle, Standard",Dog
140,Sylvie,2013-08-06,"Poodle, Standard",Dog
141,Feral,2013-08-07,Domestic Medium Hair,Cat
142,Feral,2013-08-07,Domestic Medium Hair,Cat
143,Bronx,2013-08-07,Rottweiler,Dog
144,Bronx,2013-08-07,Rottweiler,Dog
145,Bode,2013-08-07,"Retriever, Golden",Dog
146,Bode,2013-08-07,"Retriever, Golden",Dog
147,Po Chi,2013-08-08,Shepherd,Dog
148,Po Chi,2013-08-08,Shepherd,Dog
149,Sasha,2013-08-08,"Terrier, Fox, Wire",Dog
150,Sasha,2013-08-08,"Terrier, Fox, Wire",Dog
151,Snookie,2013-08-08,Domestic Shorthair,Cat
152,Snookie,2013-08-08,Domestic Shorthair,Cat
153,Hero,2013-08-08,Abyssinian,Cat
154,Hero,2013-08-08,Abyssinian,Cat
155,Quincy,2013-08-09,Ragdoll,Cat
156,Quincy,2013-08-09,Ragdoll,Cat
157,Goldie,2013-08-09,"Dachshund, Standard Smooth Haired",Dog
158,Goldie,2013-08-09,"Dachshund, Standard Smooth Haired",Dog
159,Mickie,2013-08-11,"Terrier, Jack Russell",Dog
160,Mickie,2013-08-11,"Terrier, Jack Russell",Dog
161,Tommy,2013-08-12,"Poodle, Miniature",Dog
162,Tommy,2013-08-12,"Poodle, Miniature",Dog
163,Rex,2013-08-12,"Poodle, Standard",Dog
164,Rex,2013-08-12,"Poodle, Standard",Dog
165,Baxter,2013-08-13,"Retriever, Labrador",Dog
166,Baxter,2013-08-13,"Retriever, Labrador",Dog
167,Duke,2013-08-13,"Terrier, Boston",Dog
168,Duke,2013-08-13,"Terrier, Boston",Dog
169,Roxy,2013-08-14,Australian Cattle Dog,Dog
170,Roxy,2013-08-14,Australian Cattle Dog,Dog
171,Molly,2013-08-14,"Retriever, Labrador",Dog
172,Molly,2013-08-14,"Retriever, Labrador",Dog
173,Ella,2013-08-14,Australian Shepherd,Dog
174,Ella,2013-08-14,Australian Shepherd,Dog
175,Julliett,2013-08-14,"Terrier, American Staffordshire",Dog
176,Julliett,2013-08-14,"Terrier, American Staffordshire",Dog
177,Mika,2013-08-15,"Dachshund, Miniature Smooth Haired",Dog
178,Marguerita,2013-08-15,"Spaniel, American Cocker",Dog
179,Marguerita,2013-08-15,"Spaniel, American Cocker",Dog
180,Freya,2013-08-15,"Retriever, Labrador",Dog
181,Zoe,2013-08-16,German Shepherd,Dog
182,Zoe,2013-08-16,German Shepherd,Dog
183,Luisinha,2013-08-16,Domestic Shorthair,Cat
184,Luisinha,2013-08-16,Domestic Shorthair,Cat
185,Jasmine,2013-08-19,"Dachshund, Standard Smooth Haired",Dog
186,Jasmine,2013-08-19,"Dachshund, Standard Smooth Haired",Dog
187,Poca,2013-08-19,Basenji,Dog
188,Poca,2013-08-19,Basenji,Dog
189,Foster,2013-08-20,"Spaniel, English Springer",Dog
190,Foster,2013-08-20,"Spaniel, English Springer",Dog
191,Lucky,2013-08-20,Australian Shepherd,Dog
192,Lucky,2013-08-20,Australian Shepherd,Dog
193,Nigel,2013-08-20,"Terrier, Soft Coated Wheaten",Dog
194,Nigel,2013-08-20,"Terrier, Soft Coated Wheaten",Dog
195,Snow White,2013-08-22,Domestic Shorthair,Cat
196,Snow White,2013-08-22,Domestic Shorthair,Cat
197,Meg,2013-08-22,"Retriever, Labrador",Dog
198,Meg,2013-08-22,"Retriever, Labrador",Dog
199,Marley,2013-08-22,"Retriever, Labrador",Dog
200,Marley,2013-08-22,"Retriever, Labrador",Dog
201,Jessie,2013-08-23,"Terrier, Rat",Dog
202,Jessie,2013-08-23,"Terrier, Rat",Dog
203,Cali,2013-08-25,Domestic Shorthair,Cat
204,Cali,2013-08-25,Domestic Shorthair,Cat
205,Clio,2013-08-25,Domestic Shorthair,Cat
206,Clio,2013-08-25,Domestic Shorthair,Cat
207,Bridget,2013-08-25,"Terrier, Soft Coated Wheaten",Dog
208,Bridget,2013-08-25,"Terrier, Soft Coated Wheaten",Dog
209,Lucca,2013-08-26,"Pointer, German Shorthaired",Dog
210,Lucca,2013-08-26,"Pointer, German Shorthaired",Dog
211,Ceri,2013-08-26,"Spaniel, Cavalier King Charles",Dog
212,Ceri,2013-08-26,"Spaniel, Cavalier King Charles",Dog
213,MoMo,2013-08-27,"Retriever, Labrador",Dog
214,MoMo,2013-08-27,"Retriever, Labrador",Dog
215,Buddy,2013-08-29,Bichon Frise,Dog
216,Buddy,2013-08-29,Bichon Frise,Dog
217,Barkley,2013-08-29,"Retriever, Labrador",Dog
218,Barkley,2013-08-29,"Retriever, Labrador",Dog
219,Achilles,2013-08-29,Domestic Shorthair,Cat
220,Achilles,2013-08-29,Domestic Shorthair,Cat
221,Boo Boo,2013-08-30,"Retriever, Golden",Dog
222,Boo Boo,2013-08-30,"Retriever, Golden",Dog
223,Buddy,2013-09-03,"Retriever, Labrador",Dog
224,Buddy,2013-09-03,"Retriever, Labrador",Dog
225,Thomas,2013-09-03,Maine Coon,Cat
226,Thomas,2013-09-03,Maine Coon,Cat
227,Piper,2013-09-03,Australian Shepherd,Dog
228,Piper,2013-09-03,Australian Shepherd,Dog
229,Paisley,2013-09-04,Domestic Longhair,Cat
230,Paisley,2013-09-04,Domestic Longhair,Cat
231,Moose,2013-09-04,Mastiff,Dog
232,Moose,2013-09-04,Mastiff,Dog
233,Kitty,2013-09-05,Domestic Medium Hair,Cat
234,Kitty,2013-09-05,Domestic Medium Hair,Cat
235,Geiser,2013-09-05,Xoloitzcuintli,Dog
236,Geiser,2013-09-05,Xoloitzcuintli,Dog
237,Benny,2013-09-08,"Chihuahua, Short Coat",Dog
238,Benny,2013-09-08,"Chihuahua, Short Coat",Dog
239,Finnegan,2013-09-09,"Terrier, Airedale",Dog
240,Finnegan,2013-09-09,"Terrier, Airedale",Dog
241,Jaxx,2013-09-09,"Retriever, Labrador",Dog
242,Jaxx,2013-09-09,"Retriever, Labrador",Dog
243,Kindra,2013-09-09,Domestic Shorthair,Cat
244,Kindra,2013-09-09,Domestic Shorthair,Cat
245,Parker,2013-09-09,Beagle,Dog
246,Parker,2013-09-09,Beagle,Dog
247,Mister G,2013-09-11,"Terrier, West Highland White",Dog
248,Mister G,2013-09-11,"Terrier, West Highland White",Dog
249,Sofia,2013-09-12,Domestic Shorthair,Cat
250,Sofia,2013-09-12,Domestic Shorthair,Cat
251,Enigma,2013-09-13,Domestic Shorthair,Cat
252,Enigma,2013-09-13,Domestic Shorthair,Cat
253,Roger,2013-09-13,Domestic Shorthair,Cat
254,Roger,2013-09-13,Domestic Shorthair,Cat
255,Cindy,2013-09-15,Australian Cattle Dog,Dog
256,Cindy,2013-09-15,Australian Cattle Dog,Dog
257,Bethany,2013-09-15,Great Dane,Dog
258,Bethany,2013-09-15,Great Dane,Dog
259,Sheila,2013-09-16,"Terrier, Rat",Dog
260,Sheila,2013-09-16,"Terrier, Rat",Dog
261,Filson,2013-09-16,"Retriever, Labrador",Dog
262,Filson,2013-09-16,"Retriever, Labrador",Dog
263,Elenore,2013-09-17,"Spaniel, American Cocker",Dog
264,Elenore,2013-09-17,"Spaniel, American Cocker",Dog
265,Skwee,2013-09-18,Domestic Longhair,Cat
266,Skwee,2013-09-18,Domestic Longhair,Cat
267,Coco,2013-09-18,"Spaniel, Cavalier King Charles",Dog
268,Coco,2013-09-18,"Spaniel, Cavalier King Charles",Dog
269,Danny,2013-09-18,"Retriever, Labrador",Dog
270,Danny,2013-09-18,"Retriever, Labrador",Dog
271,Kona,2013-09-18,Basset Hound,Dog
272,Kona,2013-09-18,Basset Hound,Dog
273,Ranger,2013-09-18,Belgian Malinois,Dog
274,Ranger,2013-09-18,Belgian Malinois,Dog
275,Mac Sa Million,2013-09-22,Domestic Longhair,Cat
276,Mac Sa Million,2013-09-22,Domestic Longhair,Cat
277,Buddy Love,2013-09-23,German Shepherd,Dog
278,Buddy Love,2013-09-23,German Shepherd,Dog
279,Brie,2013-09-23,American Shorthair,Cat
280,Brie,2013-09-23,American Shorthair,Cat
281,Brinkley,2013-09-23,Papillon,Dog
282,Brinkley,2013-09-23,Papillon,Dog
283,Crow,2013-09-23,Chow Chow,Dog
284,Crow,2013-09-23,Chow Chow,Dog
285,Missy,2013-09-24,Maltese,Dog
286,Missy,2013-09-24,Maltese,Dog
287,Betty Boop,2013-09-24,"Terrier, American Pit Bull",Dog
288,Betty Boop,2013-09-24,"Terrier, American Pit Bull",Dog
289,Happy,2013-09-25,Border Collie,Dog
290,Happy,2013-09-25,Border Collie,Dog
291,Bandit,2013-09-25,Havanese,Dog
292,Bandit,2013-09-25,Havanese,Dog
293,Cappi,2013-09-25,Domestic Shorthair,Cat
294,Cappi,2013-09-25,Domestic Shorthair,Cat
295,Bosco,2013-09-26,Domestic Longhair,Cat
296,Bosco,2013-09-26,Domestic Longhair,Cat
297,Miss Kitty,2013-09-26,Domestic Shorthair,Cat
298,Miss Kitty,2013-09-26,Domestic Shorthair,Cat
299,Coco,2013-10-07,Havanese,Dog
300,Coco,2013-10-07,Havanese,Dog
301,Rider,2013-10-07,Havanese,Dog
302,Rider,2013-10-07,Havanese,Dog
303,Frida,2013-10-08,"Chihuahua, Short Coat",Dog
304,Frida,2013-10-08,"Chihuahua, Short Coat",Dog
305,Bobby,2013-10-09,Japanese Chin,Dog
306,Bobby,2013-10-09,Japanese Chin,Dog
307,Mingmei,2013-10-14,Shih Tzu,Dog
308,Mingmei,2013-10-14,Shih Tzu,Dog
309,Amelia B. Aircat,2013-10-15,Domestic Shorthair,Cat
310,Amelia B. Aircat,2013-10-15,Domestic Shorthair,Cat
311,Wylie,2013-10-17,"Poodle, Miniature",Dog
312,Wylie,2013-10-17,"Poodle, Miniature",Dog
313,Pete,2013-10-17,Terrier,Dog
314,Pete,2013-10-17,Terrier,Dog
315,Zolo,2013-10-22,Catahoula Leopard dog,Dog
316,Zolo,2013-10-22,Catahoula Leopard dog,Dog
317,Poppy,2013-10-23,Domestic Longhair,Cat
318,Poppy,2013-10-23,Domestic Longhair,Cat
319,Macy,2013-10-26,Domestic Shorthair,Cat
320,Macy,2013-10-26,Domestic Shorthair,Cat
321,Alby,2013-10-27,Domestic Longhair,Cat
322,Alby,2013-10-27,Domestic Longhair,Cat
323,Kiwi,2013-10-29,"Terrier, Yorkshire",Dog
324,Kiwi,2013-10-29,"Terrier, Yorkshire",Dog
325,Noli,2013-10-29,"Pointer, German Shorthaired",Dog
326,Noli,2013-10-29,"Pointer, German Shorthaired",Dog
327,Qiao,2013-10-29,"Spaniel, Cavalier King Charles",Dog
328,Qiao,2013-10-29,"Spaniel, Cavalier King Charles",Dog
329,Molly,2013-10-29,"Poodle, Miniature",Dog
330,Molly,2013-10-29,"Poodle, Miniature",Dog
331,Maggie,2013-11-05,"Terrier, West Highland White",Dog
332,Maggie,2013-11-05,"Terrier, West Highland White",Dog
333,Pike,2013-11-07,Domestic Shorthair,Cat
334,Pike,2013-11-07,Domestic Shorthair,Cat
335,Dozer,2013-11-08,"Poodle, Miniature",Dog
336,Dozer,2013-11-08,"Poodle, Miniature",Dog
337,Layla,2013-11-13,Shepherd,Dog
338,Layla,2013-11-13,Shepherd,Dog
339,Dashiell,2013-11-13,Great Dane,Dog
340,Dashiell,2013-11-13,Great Dane,Dog
341,Hannah,2013-11-14,Domestic Longhair,Cat
342,Hannah,2013-11-14,Domestic Longhair,Cat
343,Yoshi,2013-11-14,"Poodle, Toy",Dog
344,Yoshi,2013-11-14,"Poodle, Toy",Dog
345,Rainbow,2013-11-16,Shih Tzu,Dog
346,Rainbow,2013-11-16,Shih Tzu,Dog
347,Bernie,2013-11-20,"Terrier, Airedale",Dog
348,Bernie,2013-11-20,"Terrier, Airedale",Dog
349,Zeus,2013-11-21,Domestic Shorthair,Cat
350,Zeus,2013-11-21,Domestic Shorthair,Cat
351,Bella,2013-11-25,Domestic Medium Hair,Cat
352,Bella,2013-11-25,Domestic Medium Hair,Cat
353,Pansy,2013-11-26,Pug,Dog
354,Pansy,2013-11-26,Pug,Dog
355,Joey,2013-11-26,Domestic Medium Hair,Cat
356,Joey,2013-11-26,Domestic Medium Hair,Cat
357,Lola,2013-11-26,"Retriever, Labrador",Dog
358,Lola,2013-11-26,"Retriever, Labrador",Dog
359,Alanis,2013-11-27,"Retriever, Labrador",Dog
360,Alanis,2013-11-27,"Retriever, Labrador",Dog
361,Doozy,2013-11-27,German Shepherd,Dog
362,Doozy,2013-11-27,German Shepherd,Dog
363,Sadie,2013-12-02,"Retriever, Labrador",Dog
364,Sadie,2013-12-02,"Retriever, Labrador",Dog
365,Indie,2013-12-02,"Retriever, Golden",Dog
366,Indie,2013-12-02,"Retriever, Golden",Dog
367,Max,2013-12-02,"Retriever, Labrador",Dog
368,Max,2013-12-02,"Retriever, Labrador",Dog
369,Bonny,2013-12-03,"Terrier, Cairn",Dog
370,Hugo,2013-12-04,"Bulldog, French",Dog
371,Hugo,2013-12-04,"Bulldog, French",Dog
372,Roxy,2013-12-05,"Terrier, Yorkshire",Dog
373,Roxy,2013-12-05,"Terrier, Yorkshire",Dog
374,Skip,2013-12-06,"Terrier, Yorkshire",Dog
375,Skip,2013-12-06,"Terrier, Yorkshire",Dog
376,Sachi,2013-12-09,"Retriever, Labrador",Dog
377,Mattie,2013-12-09,"Retriever, Labrador",Dog
378,Mattie,2013-12-09,"Retriever, Labrador",Dog
379,Caleb,2013-12-09,Domestic Medium Hair,Cat
380,Caleb,2013-12-09,Domestic Medium Hair,Cat
381,Bobak,2013-12-10,Domestic Shorthair,Cat
382,Bobak,2013-12-10,Domestic Shorthair,Cat
383,Opie,2013-12-10,Rottweiler,Dog
384,Opie,2013-12-10,Rottweiler,Dog
385,Casper,2013-12-15,Siamese,Cat
386,Casper,2013-12-15,Siamese,Cat
387,Max,2013-12-17,Himalayan,Cat
388,Max,2013-12-17,Himalayan,Cat
389,Percy,2013-12-17,"Retriever, Labrador",Dog
390,Percy,2013-12-17,"Retriever, Labrador",Dog
391,Liliana,2013-12-19,Mastiff,Dog
392,Liliana,2013-12-19,Mastiff,Dog
393,Ebony,2013-12-19,"Retriever, Labrador",Dog
394,Ebony,2013-12-19,"Retriever, Labrador",Dog
395,Zoe,2013-12-20,"Retriever, Labrador",Dog
396,Zoe,2013-12-20,"Retriever, Labrador",Dog
397,Jasmin,2013-12-23,Domestic Shorthair,Cat
398,Jasmin,2013-12-23,Domestic Shorthair,Cat
399,Suzie,2013-12-29,"Poodle, Miniature",Dog
400,Suzie,2013-12-29,"Poodle, Miniature",Dog
401,Doodlebug,2013-12-30,Shih Tzu,Dog
402,Doodlebug,2013-12-30,Shih Tzu,Dog
403,Lola,2013-12-30,"Chihuahua, Short Coat",Dog
404,Lola,2013-12-30,"Chihuahua, Short Coat",Dog
405,Rex,2013-12-30,Havanese,Dog
406,Rex,2013-12-30,Havanese,Dog
407,Jambo,2013-12-31,"Retriever, Golden",Dog
408,Rollo,2013-12-31,Xoloitzcuintli,Dog
409,Rollo,2013-12-31,Xoloitzcuintli,Dog
410,Chauncy,2014-01-17,"Poodle, Standard",Dog
411,Micky,2014-01-27,Domestic Shorthair,Cat
412,Dusty,2014-02-03,"Schnauzer, Standard",Dog
413,Hooper,2014-02-05,"Terrier, Boston",Dog
414,Alice,2014-02-10,Shepherd,Dog
415,Sushi,2014-02-13,"Retriever, Labrador",Dog
416,Kona,2014-02-19,"Spaniel, English Springer",Dog
417,Dexter,2014-03-04,Domestic Medium Hair,Cat
418,Clyde,2014-03-31,"Terrier, American Staffordshire",Dog
419,Koa,2014-04-02,Domestic Longhair,Cat
420,Kaiser,2014-04-03,Siamese,Cat
421,Auggie,2014-04-03,"Pointer, German Shorthaired",Dog
422,Bingo,2014-04-04,Irish Wolfhound,Dog
423,Evi,2014-04-04,German Shepherd,Dog
424,Thor,2014-04-04,"Dachshund, Standard Smooth Haired",Dog
425,Flurry,2014-04-04,Domestic Shorthair,Cat
426,Sally,2014-04-07,"Terrier, Fox, Wire",Dog
427,Brie,2014-04-07,Bichon Frise,Dog
428,Annie,2014-04-07,Bichon Frise,Dog
429,Snuggles,2014-04-10,"Spaniel, American Cocker",Dog
430,Vivi,2014-04-10,Domestic Shorthair,Cat
431,Esme,2014-04-10,Siamese,Cat
432,Austin,2014-04-11,"Retriever, Golden",Dog
433,Sara,2014-04-11,Coton de Tulear,Dog
434,Cally,2014-04-11,Domestic Shorthair,Cat
435,Tetherball,2014-04-11,"Poodle, Standard",Dog
436,Pippen,2014-04-12,"Welsh Corgi, Cardigan",Dog
437,Pepper,2014-04-12,"Spaniel, English Springer",Dog
438,Calie,2014-04-14,Whippet,Dog
439,Millie b good,2014-04-14,"Pointer, German Wirehaired",Dog
440,Jackson,2014-04-15,"Retriever, Labrador",Dog
441,Kirby,2014-04-15,"Terrier, West Highland White",Dog
442,Alexandra,2014-04-16,Domestic Shorthair,Cat
443,Gracie,2014-04-16,"Spaniel, American Cocker",Dog
444,Riga,2014-04-22,Chow Chow,Dog
445,Eliza,2014-04-24,Domestic Shorthair,Cat
446,Annie,2014-04-24,Beagle,Dog
447,Hallie,2014-04-24,Boxer,Dog
448,Mia,2014-04-28,Shepherd,Dog
449,Bella,2014-04-28,Domestic Shorthair,Cat
450,Jadin,2014-04-28,Domestic Shorthair,Cat
451,Prince,2014-04-28,Keeshond,Dog
452,Frida,2014-04-28,German Shepherd,Dog
453,Chloe,2014-05-02,American Shorthair,Cat
454,Houdini,2014-05-03,Maine Coon,Cat
455,Mousie,2014-05-08,Siamese,Cat
456,Zoey,2014-05-16,Domestic Shorthair,Cat
457,Mogul,2014-05-16,"Retriever, Golden",Dog
458,Tom,2014-05-16,Domestic Shorthair,Cat
459,Frankie,2014-05-16,Australian Shepherd,Dog
460,Pinwheel,2014-05-16,Domestic Shorthair,Cat
461,Gracie,2014-05-16,"Setter, English",Dog
462,Zoe,2014-05-16,"Retriever, Labrador",Dog
463,Link,2014-05-16,Domestic Shorthair,Cat
464,Schmeegle,2014-05-19,Shih Tzu,Dog
465,Lucie,2014-05-19,Havanese,Dog
466,Bentley,2014-05-22,Rhodesian Ridgeback,Dog
467,Propane,2014-05-22,American Shorthair,Cat
468,Honey,2014-05-27,Boxer,Dog
469,Laci,2014-05-30,Rottweiler,Dog
470,Magic,2014-06-02,"Retriever, Labrador",Dog
471,Sazi,2014-06-02,"Retriever, Labrador",Dog
472,Amanda,2014-06-03,"Retriever, Golden",Dog
473,Rascal,2014-06-05,Terrier,Dog
474,Frisky,2014-06-05,Domestic Longhair,Cat
475,Bella,2014-06-05,"Retriever, Labrador",Dog
476,Kirra,2014-06-06,Border Collie,Dog
477,Zadie,2014-06-13,Siberian Husky,Dog
478,Myla,2014-06-13,"Bulldog, English",Dog
479,Neenah,2014-06-16,"Retriever, Labrador",Dog
480,Tigra,2014-06-27,Domestic Shorthair,Cat